Country,Year,Sex,Age,Suicides_No,Population,Suicides100kPop,HDIYear,GDPYear,GDPCapita,Generation
Albania,1989,female,5-14 years,0,321900,0,0.683,2335124988,833,Generation X
Albania,1989,female,75+ years,0,37000,0,0.683,2335124988,833,G.I. Generation
Albania,1989,male,5-14 years,0,349700,0,0.683,2335124988,833,Generation X
Albania,1992,male,35-54 years,12,343800,3.49,0.683,709452584,251,Boomers
Albania,1992,male,15-24 years,9,263700,3.41,0.683,709452584,251,Generation X
Albania,1992,male,55-74 years,5,159500,3.13,0.683,709452584,251,Silent
Albania,1992,male,25-34 years,7,245500,2.85,0.683,709452584,251,Boomers
Albania,1992,female,15-24 years,7,292400,2.39,0.683,709452584,251,Generation X
Albania,1992,female,25-34 years,4,267400,1.5,0.683,709452584,251,Boomers
Albania,1992,female,35-54 years,2,323100,0.62,0.683,709452584,251,Boomers
Albania,1992,female,55-74 years,1,164900,0.61,0.683,709452584,251,Silent
Albania,1992,female,5-14 years,0,336700,0,0.683,709452584,251,Millenials
Albania,1992,female,75+ years,0,38700,0,0.683,709452584,251,G.I. Generation
Albania,1992,male,5-14 years,0,362900,0,0.683,709452584,251,Millenials
Albania,1992,male,75+ years,0,23900,0,0.683,709452584,251,G.I. Generation
Albania,1993,male,15-24 years,18,243300,7.4,0.683,1228071038,437,Generation X
Albania,1993,male,55-74 years,7,165000,4.24,0.683,1228071038,437,Silent
Albania,1993,male,75+ years,1,24200,4.13,0.683,1228071038,437,G.I. Generation
Albania,1993,male,25-34 years,9,230100,3.91,0.683,1228071038,437,Boomers
Albania,1993,female,15-24 years,10,285300,3.51,0.683,1228071038,437,Generation X
Albania,1993,male,35-54 years,10,350300,2.85,0.683,1228071038,437,Boomers
Albania,1993,female,25-34 years,7,261800,2.67,0.683,1228071038,437,Boomers
Albania,1993,female,35-54 years,7,331200,2.11,0.683,1228071038,437,Boomers
Albania,1993,female,55-74 years,2,169500,1.18,0.683,1228071038,437,Silent
Albania,1993,female,5-14 years,1,340300,0.29,0.683,1228071038,437,Millenials
Albania,1993,male,5-14 years,1,367000,0.27,0.683,1228071038,437,Millenials
Albania,1993,female,75+ years,0,39300,0,0.683,1228071038,437,G.I. Generation
Albania,1994,male,75+ years,2,24600,8.13,0.683,1985673798,697,G.I. Generation
Albania,1994,male,55-74 years,11,171400,6.42,0.683,1985673798,697,Silent
Albania,1994,female,75+ years,2,39900,5.01,0.683,1985673798,697,G.I. Generation
Albania,1994,male,25-34 years,6,231400,2.59,0.683,1985673798,697,Boomers
Albania,1994,male,35-54 years,9,362800,2.48,0.683,1985673798,697,Boomers
Albania,1994,male,15-24 years,6,242200,2.48,0.683,1985673798,697,Generation X
