Country,Year,Sex,Age,Suicides_No,Population,Suicides100kPop,HDIYear,GDPYear,GDPCapita,Generation
Antigua and Barbuda,1990,female,25-34 years,0,6172,0,0.683,459469074,7744,Boomers
Antigua and Barbuda,1990,female,35-54 years,0,5895,0,0.683,459469074,7744,Silent
Antigua and Barbuda,1990,female,5-14 years,0,6877,0,0.683,459469074,7744,Generation X
Antigua and Barbuda,1990,female,55-74 years,0,3706,0,0.683,459469074,7744,G.I. Generation
Antigua and Barbuda,1990,female,75+ years,0,1252,0,0.683,459469074,7744,G.I. Generation
Antigua and Barbuda,1990,male,15-24 years,0,6598,0,0.683,459469074,7744,Generation X
Antigua and Barbuda,1990,male,25-34 years,0,5937,0,0.683,459469074,7744,Boomers
Antigua and Barbuda,1990,male,5-14 years,0,6611,0,0.683,459469074,7744,Generation X
Antigua and Barbuda,1990,male,55-74 years,0,2902,0,0.683,459469074,7744,G.I. Generation
Antigua and Barbuda,1990,male,75+ years,0,758,0,0.683,459469074,7744,G.I. Generation
Antigua and Barbuda,1991,female,15-24 years,0,6595,0,0.683,481706333,7976,Generation X
